Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Datetime,,,,,
2025-04-03 03:45:00+00:00,1330.449951171875,1332.6500244140625,1321.699951171875,1325.0,0
2025-04-03 04:45:00+00:00,1328.4000244140625,1333.0,1327.050048828125,1330.5,445893
2025-04-03 05:45:00+00:00,1328.199951171875,1330.4000244140625,1326.6500244140625,1328.25,672658
2025-04-03 06:45:00+00:00,1330.6500244140625,1331.199951171875,1327.1500244140625,1327.8499755859375,318012
2025-04-03 07:45:00+00:00,1326.5,1331.25,1325.050048828125,1330.800048828125,519283
2025-04-03 08:45:00+00:00,1330.949951171875,1331.449951171875,1325.300048828125,1326.699951171875,1095498
2025-04-03 09:45:00+00:00,1328.0,1330.8499755859375,1326.8499755859375,1330.8499755859375,614484
2025-04-04 03:45:00+00:00,1329.699951171875,1335.9000244140625,1322.4000244140625,1335.5,0
2025-04-04 04:45:00+00:00,1330.5,1335.0,1327.949951171875,1329.6500244140625,1287107
2025-04-04 05:45:00+00:00,1329.449951171875,1331.4000244140625,1325.3499755859375,1330.5,1120754
2025-04-04 06:45:00+00:00,1336.5,1336.699951171875,1328.199951171875,1329.4000244140625,899652
2025-04-04 07:45:00+00:00,1333.949951171875,1336.949951171875,1332.0,1336.5,974616
2025-04-04 08:45:00+00:00,1338.550048828125,1338.550048828125,1331.300048828125,1333.5999755859375,1376571
2025-04-04 09:45:00+00:00,1335.050048828125,1338.4000244140625,1332.75,1338.4000244140625,532918
2025-04-07 03:45:00+00:00,1287.8499755859375,1325.0,1287.3499755859375,1288.449951171875,377790
2025-04-07 04:45:00+00:00,1276.0999755859375,1290.949951171875,1275.3499755859375,1287.8499755859375,2239731
2025-04-07 05:45:00+00:00,1269.949951171875,1278.8499755859375,1269.300048828125,1276.0999755859375,1005093
2025-04-07 06:45:00+00:00,1270.550048828125,1274.4000244140625,1265.0,1270.1500244140625,1451206
2025-04-07 07:45:00+00:00,1279.699951171875,1282.199951171875,1267.1500244140625,1270.25,1444589
2025-04-07 08:45:00+00:00,1289.550048828125,1290.550048828125,1275.050048828125,1280.0,2834435
2025-04-07 09:45:00+00:00,1290.550048828125,1293.75,1287.25,1289.449951171875,1181312
2025-04-08 03:45:00+00:00,1295.800048828125,1309.5999755859375,1294.0999755859375,1305.8499755859375,0
2025-04-08 04:45:00+00:00,1296.4000244140625,1299.3499755859375,1287.3499755859375,1295.8499755859375,1808517
2025-04-08 05:45:00+00:00,1301.0,1301.699951171875,1289.4000244140625,1296.300048828125,1466837
2025-04-08 06:45:00+00:00,1303.449951171875,1306.5,1298.0,1301.0,1435730
2025-04-08 07:45:00+00:00,1300.5,1305.6500244140625,1291.8499755859375,1303.550048828125,1865693
2025-04-08 08:45:00+00:00,1300.449951171875,1302.5999755859375,1294.5,1300.550048828125,2963647
2025-04-08 09:45:00+00:00,1301.550048828125,1301.75,1299.4000244140625,1300.449951171875,1357825
2025-04-09 03:45:00+00:00,1288.699951171875,1304.0,1288.0,1304.0,0
2025-04-09 04:45:00+00:00,1286.0,1294.550048828125,1285.25,1288.699951171875,1402668
2025-04-09 05:45:00+00:00,1291.0999755859375,1291.5,1284.5,1286.0,1020133
2025-04-09 06:45:00+00:00,1296.75,1296.75,1290.5999755859375,1291.199951171875,1159218
2025-04-09 07:45:00+00:00,1303.949951171875,1304.25,1295.300048828125,1296.75,1542611
2025-04-09 08:45:00+00:00,1300.3499755859375,1305.050048828125,1299.6500244140625,1303.800048828125,3112668
2025-04-09 09:45:00+00:00,1304.0,1304.0,1299.6500244140625,1300.4000244140625,689815
2025-04-11 03:45:00+00:00,1316.1500244140625,1325.0,1313.199951171875,1313.5,0
2025-04-11 04:45:00+00:00,1312.5,1317.050048828125,1308.0,1316.1500244140625,2203486
2025-04-11 05:45:00+00:00,1319.949951171875,1319.949951171875,1310.949951171875,1312.800048828125,1636202
2025-04-11 06:45:00+00:00,1321.0,1323.949951171875,1319.4000244140625,1319.949951171875,1373405
2025-04-11 07:45:00+00:00,1316.0999755859375,1321.949951171875,1315.050048828125,1321.0,946788
2025-04-11 08:45:00+00:00,1311.3499755859375,1317.449951171875,1310.800048828125,1316.199951171875,2504969
2025-04-11 09:45:00+00:00,1311.6500244140625,1313.949951171875,1308.800048828125,1311.4000244140625,1446498
2025-04-15 03:45:00+00:00,1347.300048828125,1349.800048828125,1336.4000244140625,1344.800048828125,0
2025-04-15 04:45:00+00:00,1346.199951171875,1347.9000244140625,1341.0,1347.199951171875,974218
2025-04-15 05:45:00+00:00,1347.0999755859375,1348.0999755859375,1344.0999755859375,1346.300048828125,836519
2025-04-15 06:45:00+00:00,1345.9000244140625,1348.5,1345.5999755859375,1347.4000244140625,1003721
2025-04-15 07:45:00+00:00,1348.9000244140625,1349.300048828125,1345.5,1345.800048828125,1122854
2025-04-15 08:45:00+00:00,1349.5,1354.300048828125,1345.300048828125,1349.0999755859375,4469522
2025-04-15 09:45:00+00:00,1350.0999755859375,1353.300048828125,1348.4000244140625,1349.5,1600646
2025-04-16 03:45:00+00:00,1350.4000244140625,1357.5999755859375,1347.199951171875,1356.4000244140625,0
2025-04-16 04:45:00+00:00,1347.9000244140625,1351.9000244140625,1345.0999755859375,1350.5,1776822
2025-04-16 05:45:00+00:00,1344.300048828125,1349.9000244140625,1344.300048828125,1348.0,2120995
2025-04-16 06:45:00+00:00,1348.699951171875,1348.699951171875,1342.9000244140625,1344.300048828125,1924380
2025-04-16 07:45:00+00:00,1354.4000244140625,1355.0,1346.0,1348.699951171875,2271116
2025-04-16 08:45:00+00:00,1354.5999755859375,1356.5999755859375,1353.199951171875,1354.4000244140625,2421428
2025-04-16 09:45:00+00:00,1356.4000244140625,1359.699951171875,1354.300048828125,1354.5,1113896
2025-04-17 03:45:00+00:00,1379.9000244140625,1384.4000244140625,1360.9000244140625,1360.9000244140625,0
2025-04-17 04:45:00+00:00,1378.300048828125,1381.300048828125,1371.5999755859375,1379.5999755859375,1754278
2025-04-17 05:45:00+00:00,1392.300048828125,1392.5,1377.5,1378.5999755859375,2825220
2025-04-17 06:45:00+00:00,1401.5,1401.5,1389.0,1392.199951171875,2807401
2025-04-17 07:45:00+00:00,1404.300048828125,1408.800048828125,1400.4000244140625,1401.5,2698827
2025-04-17 08:45:00+00:00,1406.0999755859375,1408.5,1399.9000244140625,1403.800048828125,2992358
2025-04-17 09:45:00+00:00,1406.800048828125,1408.800048828125,1403.4000244140625,1406.0999755859375,1103156
2025-04-21 03:45:00+00:00,1419.0,1434.9000244140625,1412.199951171875,1429.699951171875,0
2025-04-21 04:45:00+00:00,1415.5,1419.9000244140625,1410.800048828125,1418.5999755859375,2242888
2025-04-21 05:45:00+00:00,1412.699951171875,1415.9000244140625,1410.0,1415.0,1559932
2025-04-21 06:45:00+00:00,1410.5999755859375,1413.9000244140625,1409.199951171875,1412.5999755859375,1273726
2025-04-21 07:45:00+00:00,1407.5999755859375,1412.199951171875,1404.800048828125,1410.699951171875,2054750
2025-04-21 08:45:00+00:00,1410.5999755859375,1412.0,1406.0,1407.5,1727691
2025-04-21 09:45:00+00:00,1408.5,1411.9000244140625,1407.300048828125,1410.5999755859375,1056444
2025-04-22 03:45:00+00:00,1407.0999755859375,1416.199951171875,1398.9000244140625,1416.199951171875,0
2025-04-22 04:45:00+00:00,1414.199951171875,1417.0,1406.0,1407.300048828125,1932238
2025-04-22 05:45:00+00:00,1409.5999755859375,1415.4000244140625,1404.5999755859375,1414.199951171875,2109182
2025-04-22 06:45:00+00:00,1410.5,1411.300048828125,1403.4000244140625,1409.5999755859375,2596890
2025-04-22 07:45:00+00:00,1412.9000244140625,1413.699951171875,1408.699951171875,1410.5,2334235
2025-04-22 08:45:00+00:00,1417.0999755859375,1418.5999755859375,1411.5,1412.9000244140625,2554081
2025-04-22 09:45:00+00:00,1414.0,1418.0,1411.300048828125,1417.0,1502271
2025-04-23 03:45:00+00:00,1418.0999755859375,1428.0999755859375,1415.0999755859375,1428.0999755859375,0
2025-04-23 04:45:00+00:00,1413.800048828125,1421.699951171875,1411.4000244140625,1418.0999755859375,1171651
2025-04-23 05:45:00+00:00,1418.800048828125,1419.0999755859375,1412.0,1413.9000244140625,1754125
2025-04-23 06:45:00+00:00,1420.5,1424.0,1416.0,1418.800048828125,2137303
2025-04-23 07:45:00+00:00,1422.0,1422.5,1417.0999755859375,1420.4000244140625,1843197
2025-04-23 08:45:00+00:00,1424.800048828125,1426.4000244140625,1422.0,1422.0999755859375,3566434
2025-04-23 09:45:00+00:00,1423.0,1425.0,1422.0,1424.800048828125,1598897
2025-04-24 03:45:00+00:00,1413.800048828125,1421.199951171875,1408.800048828125,1416.5,4263675
2025-04-24 04:45:00+00:00,1410.0,1414.4000244140625,1408.0999755859375,1414.0,1048734
2025-04-24 05:45:00+00:00,1406.9000244140625,1410.4000244140625,1406.0999755859375,1409.800048828125,1085164
2025-04-24 06:45:00+00:00,1405.300048828125,1408.0,1404.4000244140625,1407.0,980743
2025-04-24 07:45:00+00:00,1405.0,1406.300048828125,1402.199951171875,1405.800048828125,1546649
2025-04-24 08:45:00+00:00,1404.4000244140625,1407.800048828125,1398.800048828125,1405.0,4866482
2025-04-24 09:45:00+00:00,1402.699951171875,1404.4000244140625,1400.0,1404.300048828125,1883122
2025-04-25 03:45:00+00:00,1400.199951171875,1414.5999755859375,1396.699951171875,1408.699951171875,0
2025-04-25 04:45:00+00:00,1397.5999755859375,1403.0999755859375,1395.0,1400.800048828125,1658628
2025-04-25 05:45:00+00:00,1395.9000244140625,1398.0,1388.5999755859375,1397.5999755859375,2083548
2025-04-25 06:45:00+00:00,1397.199951171875,1398.699951171875,1393.800048828125,1396.0,1048562
