Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Datetime,,,,,
2025-04-03 03:45:00+00:00,1488.949951171875,1499.0,1476.5,1496.9000244140625,0
2025-04-03 04:45:00+00:00,1475.0,1489.6500244140625,1475.0,1488.699951171875,564358
2025-04-03 05:45:00+00:00,1473.9000244140625,1475.9000244140625,1468.050048828125,1474.550048828125,417777
2025-04-03 06:45:00+00:00,1472.75,1477.800048828125,1472.0,1474.0,378593
2025-04-03 07:45:00+00:00,1474.0999755859375,1476.5,1472.0,1472.75,653957
2025-04-03 08:45:00+00:00,1470.4000244140625,1475.199951171875,1469.5,1474.0999755859375,733067
2025-04-03 09:45:00+00:00,1468.4000244140625,1470.800048828125,1465.25,1470.4000244140625,364642
2025-04-04 03:45:00+00:00,1439.0999755859375,1455.0,1435.6500244140625,1449.0,0
2025-04-04 04:45:00+00:00,1429.5,1439.699951171875,1428.300048828125,1438.949951171875,539976
2025-04-04 05:45:00+00:00,1433.5,1436.5999755859375,1427.050048828125,1430.25,607429
2025-04-04 06:45:00+00:00,1430.300048828125,1435.9000244140625,1428.5,1433.5,611077
2025-04-04 07:45:00+00:00,1422.0,1432.5999755859375,1421.0,1430.6500244140625,487143
2025-04-04 08:45:00+00:00,1421.6500244140625,1427.4000244140625,1420.449951171875,1421.949951171875,627368
2025-04-04 09:45:00+00:00,1427.0,1429.9000244140625,1419.1500244140625,1421.5,257829
2025-04-07 03:45:00+00:00,1322.550048828125,1342.199951171875,1302.949951171875,1330.0,0
2025-04-07 04:45:00+00:00,1335.550048828125,1342.0,1321.4000244140625,1322.550048828125,1396753
2025-04-07 05:45:00+00:00,1336.949951171875,1347.4000244140625,1332.8499755859375,1335.4000244140625,630635
2025-04-07 06:45:00+00:00,1334.949951171875,1342.8499755859375,1328.1500244140625,1336.699951171875,530242
2025-04-07 07:45:00+00:00,1352.949951171875,1353.699951171875,1332.25,1335.25,523934
2025-04-07 08:45:00+00:00,1376.800048828125,1377.6500244140625,1351.199951171875,1352.9000244140625,1145900
2025-04-07 09:45:00+00:00,1378.0,1382.949951171875,1371.25,1376.800048828125,359195
2025-04-08 03:45:00+00:00,1373.699951171875,1397.8499755859375,1373.699951171875,1389.699951171875,0
2025-04-08 04:45:00+00:00,1391.4000244140625,1397.0,1372.0,1373.9000244140625,577668
2025-04-08 05:45:00+00:00,1410.050048828125,1410.4000244140625,1380.0999755859375,1390.800048828125,425798
2025-04-08 06:45:00+00:00,1423.0,1423.449951171875,1406.300048828125,1410.4000244140625,358019
2025-04-08 07:45:00+00:00,1413.050048828125,1423.75,1397.6500244140625,1423.0,440173
2025-04-08 08:45:00+00:00,1403.949951171875,1414.5,1400.75,1413.800048828125,618888
2025-04-08 09:45:00+00:00,1403.3499755859375,1403.949951171875,1402.0,1403.9000244140625,451598
2025-04-09 03:45:00+00:00,1369.449951171875,1380.5999755859375,1358.9000244140625,1379.949951171875,0
2025-04-09 04:45:00+00:00,1374.0,1374.5999755859375,1366.1500244140625,1368.949951171875,263850
2025-04-09 05:45:00+00:00,1379.199951171875,1380.0,1374.0,1374.050048828125,326046
2025-04-09 06:45:00+00:00,1384.9000244140625,1385.550048828125,1376.0999755859375,1379.199951171875,369911
2025-04-09 07:45:00+00:00,1378.050048828125,1388.6500244140625,1377.9000244140625,1384.5999755859375,382931
2025-04-09 08:45:00+00:00,1380.0,1382.1500244140625,1376.550048828125,1378.050048828125,870475
2025-04-09 09:45:00+00:00,1380.0,1381.0,1378.75,1379.800048828125,333467
2025-04-11 03:45:00+00:00,1417.5999755859375,1424.449951171875,1374.949951171875,1374.949951171875,0
